LINEAR	RMSE	R2 Score			POLY(2)	RMSE	R2Score			POLY(3)	RMSE	R 2 Score			KNN(2)	Mean(r2)			KNN(3)	Mean(r2)
LINEAR	10.788	0.566			POLY(2)	8.0623	0.724			POLY(3)	5.986072181	0.883501958			KNN(2)	0.697054828			KNN(3)	0.711541696
LINEAR	9.913	0.641			POLY(2)	7.49	0.778			POLY(3)	6.102907131	0.867112624			KNN(2)	0.700261706			KNN(3)	0.713420542
LINEAR	11.032	0.544			POLY(2)	7.995	0.792			POLY(3)	6.158548277	0.850636593			KNN(2)	0.694540094			KNN(3)	0.713687951
LINEAR	9.967	0.671			POLY(2)	7.098	0.815			POLY(3)	5.994080918	0.861300632			KNN(2)	0.706346117			KNN(3)	0.713687951
LINEAR	10.85	0.568			POLY(2)	7.3889	0.794			POLY(3)	9.337877431	0.709879493			KNN(2)	0.701671888			KNN(3)	0.713711875
LINEAR	10.821	0.575			POLY(2)	7.911	0.803			POLY(3)	6.545389131	0.841478613			KNN(2)	0.70034902			KNN(3)	0.713311303
LINEAR	10.958	0.507			POLY(2)	7.772	0.794			POLY(3)	6.439751467	0.81839937			KNN(2)	0.707014686			KNN(3)	0.714023311
LINEAR	11.114	0.55			POLY(2)	7.947	0.784			POLY(3)	7.654757941	0.80476209			KNN(2)	0.699629174			KNN(3)	0.714568289
LINEAR	11.286	0.563			POLY(2)	7.721	0.786			POLY(3)	7.279122874	0.787418777			KNN(2)	0.700434106			KNN(3)	0.704870122
LINEAR	9.949	0.65			POLY(2)	7.093	0.81			POLY(3)	7.106703624	0.836485819			KNN(2)	0.702454421			KNN(3)	0.708601932
Mean 	10.6678	0.5835			Mean	7.64782	0.788			Mean	6.860521097	0.826097597		Mean of the meanr2		0.700975604		Mean of the meanr2		0.712142497
